STATION,DATE,LATITUDE,LONGITUDE,AIR_TEMP,SEA_SURF_TEMP
62030785,1864-01-15T20:00:00,29.5,-67.5,76.1,72.5
6584,1864-01-15T22:00:00,29.42,-67.93,63.5,72.5
6584,1864-01-16T00:00:00,29.38,-68.03,63.5,71.4
62030785,1864-01-16T00:00:00,29.5,-67.5,72.5,72.5
6584,1864-01-16T02:00:00,29.33,-68.18,63.5,70.9
6584,1864-01-16T04:00:00,29.27,-68.33,63.5,70.9
62030785,1864-01-16T05:00:00,29.5,-68.5,71.4,71.4
6584,1864-01-16T06:00:00,29.2,-68.5,63.5,71.4
6584,1864-01-16T08:00:00,29.15,-68.65,63.7,71.4
6584,1864-01-16T09:00:00,29.12,-68.72,63.3,70.2
62030785,1864-01-16T09:00:00,29.5,-68.5,71.4,70.9
6584,1864-01-16T10:00:00,29.1,-68.8,63.3,70.2
6584,1864-01-16T12:00:00,29.03,-68.95,66.2,70.2
62030785,1864-01-16T13:00:00,29.5,-68.5,71.6,71.4
6584,1864-01-16T14:00:00,28.92,-68.75,64.4,71.4
6584,1864-01-16T15:00:00,28.87,-68.63,64.4,71.4
6584,1864-01-16T16:00:00,28.82,-68.53,64.4,71.4
62030785,1864-01-16T17:00:00,29.5,-68.5,74.7,70.2
6584,1864-01-16T18:00:00,28.7,-68.33,64.4,70.3
6584,1864-01-16T20:00:00,28.6,-68.33,64.4,72.5
62030785,1864-01-16T21:00:00,28.5,-68.5,72.5,71.4
6584,1864-01-16T22:00:00,28.52,-68.33,63,72.5
6584,1864-01-17T00:00:00,28.42,-68.33,62.2,72.5
62030785,1864-01-17T01:00:00,28.5,-68.5,72.5,72.5
6584,1864-01-17T02:00:00,28.25,-68.45,62.1,72.5
6584,1864-01-17T04:00:00,28.08,-68.57,62.1,72.5
62030785,1864-01-17T05:00:00,28.5,-68.5,69.8,72.5
6584,1864-01-17T06:00:00,27.92,-68.68,63.5,71.4
6584,1864-01-17T08:00:00,27.75,-68.8,63.5,71.4
6584,1864-01-17T09:00:00,27.62,-68.85,63.9,71.4
62030785,1864-01-17T09:00:00,28.5,-68.5,69.6,72.5
6584,1864-01-17T10:00:00,27.48,-68.9,64.4,71.4
6584,1864-01-17T12:00:00,27.22,-69,65.7,73.6
62030785,1864-01-17T13:00:00,27.5,-68.5,71.4,71.4
6584,1864-01-17T14:00:00,27.03,-69,66.6,73.6
6584,1864-01-17T15:00:00,26.93,-69,65.8,73.6
